datetime,solar_global[W/sf],solar_horizontal[W/sf],solar_direct[W/sf],clouds,dewpoint[degF],temperature[degF],ground_reflectivity[pu],wind_speed[m/s],wind_dir[rad],solar_altitude[deg],humidity[%],pressure[mbar],heat_index[degF]
2020-01-01 00:00:00,0.0,0.0,0.0,7,45.1,45.1,0.1,3.3,5.5,165.1,100.0,967,44.6
2020-01-01 01:00:00,0.0,0.0,0.0,7,45.3,45.3,0.1,3.2,5.5,158.0,100.0,967,44.8
2020-01-01 02:00:00,0.0,0.0,0.0,7,45.0,45.0,0.1,3.2,5.5,147.2,100.0,966,44.4
2020-01-01 03:00:00,0.0,0.0,0.0,7,44.6,44.6,0.1,3.3,5.5,135.5,100.0,966,44.0
2020-01-01 04:00:00,0.0,0.0,0.0,7,44.2,44.2,0.1,3.5,5.5,123.6,100.0,966,43.7
2020-01-01 05:00:00,0.0,0.0,0.0,7,44.2,44.2,0.1,3.6,5.6,111.9,100.0,966,43.7
2020-01-01 06:00:00,0.0,0.0,0.0,7,44.6,44.6,0.1,3.4,5.6,100.5,100.0,966,44.0
2020-01-01 07:00:00,0.3,0.3,0.0,7,45.9,45.9,0.1,3.2,5.5,89.3,100.0,966,45.4
2020-01-01 08:00:00,7.8,6.1,9.7,7,48.0,48.0,0.1,3.5,5.3,79.8,100.0,967,47.6
2020-01-01 09:00:00,23.2,8.1,47.7,0,50.0,50.0,0.1,4.2,5.3,71.4,100.0,967,49.7
2020-01-01 10:00:00,38.6,5.6,78.1,0,51.3,51.8,0.1,4.7,5.3,65.0,98.0,966,51.5
2020-01-01 11:00:00,33.9,14.4,40.5,0,52.5,53.2,0.1,4.9,5.4,61.2,97.6,966,53.0
2020-01-01 12:00:00,28.6,20.0,17.6,7,53.4,54.0,0.1,5.0,5.5,60.5,98.1,965,53.8
2020-01-01 13:00:00,12.5,11.1,3.0,4,53.6,54.1,0.1,5.1,5.4,63.0,98.0,964,54.0
2020-01-01 14:00:00,9.8,9.1,2.1,4,53.6,53.8,0.1,5.1,5.4,68.4,99.0,964,53.6
2020-01-01 15:00:00,6.5,6.4,0.3,4,53.2,53.2,0.1,5.0,5.4,76.1,100.0,964,53.1
